ts	code	connect_ms	total_ms
19:04:12	000	0.017155	4.003030
19:04:26	000	0.019519	4.002615
19:04:33	000	0.000000	2.005034
19:04:41	000	0.000000	2.006148
19:04:50	000	0.000000	2.001970
19:04:57	000	0.000000	2.006175
19:05:05	000	0.000000	2.005800
19:05:12	000	0.000000	2.006270
19:05:19	000	0.009043	0.016291
19:05:24	000	0.015575	0.028063
19:05:29	000	0.010857	0.016329
19:05:34	000	0.013731	0.046663
19:05:39	000	0.010614	0.022678
19:05:46	000	1.545928	1.563057
19:05:51	000	0.007387	0.025995
19:05:57	000	0.025508	0.031400
19:06:03	000	0.010681	0.017369
19:06:10	000	1.842377	1.850276
19:06:15	000	0.008647	0.021990
19:06:20	000	0.022320	0.027224
19:06:25	000	0.013370	0.020780
19:06:31	000	0.033651	0.143391
19:06:36	000	0.007285	0.024985
19:06:41	000	0.019234	0.039033
19:06:46	000	0.011028	0.029134
19:06:51	000	0.016125	0.021066
19:06:56	000	0.019040	0.042699
19:07:01	000	0.012104	0.059370
19:07:06	000	0.006566	0.022396
19:07:13	000	0.942598	0.959622
19:07:20	000	0.888407	0.923671
19:07:28	000	0.000000	2.007010
19:07:33	000	0.015427	0.048118
19:07:39	000	0.011433	0.016492
19:07:44	000	0.022352	0.039659
19:07:49	000	0.036419	0.095081
19:07:54	000	0.007126	0.015124
19:08:01	000	1.482132	1.496191
19:08:06	000	0.011535	0.016447
19:08:11	000	0.044340	0.050515
19:08:16	000	0.018829	0.024634
19:08:21	000	0.051273	0.067705
19:08:26	000	0.006788	0.011884
19:08:32	000	0.007944	0.020680
19:08:37	000	0.006988	0.012706
19:08:42	000	0.028079	0.033761
19:08:47	000	0.010359	0.041657
19:08:54	000	0.528735	0.543602
19:08:59	000	0.018681	0.024995
19:09:04	000	0.012366	0.027190
19:09:09	000	0.006735	0.013827
19:09:14	200	0.013951	0.026443
19:09:19	200	0.010136	0.032910
19:09:24	200	0.007959	0.038224
19:09:29	200	0.007146	0.030805
19:09:34	200	0.009919	0.074866
19:09:39	200	0.038666	0.055111
19:09:48	000	0.000000	2.007066
19:09:53	200	0.006705	0.028624
19:09:58	200	0.008231	0.062014
19:10:03	200	0.023994	0.039548
19:10:08	200	0.007871	0.023736
19:10:13	200	0.018421	0.032804
19:10:18	200	0.010887	0.047612
19:10:23	200	0.017368	0.042210
19:10:30	200	0.169944	0.214850
19:10:38	000	0.000000	2.002651
19:10:43	200	0.013526	0.036826
19:10:48	200	0.011196	0.039415
19:10:53	200	0.011134	0.033204
19:10:58	200	0.020579	0.050419
19:11:03	200	0.019915	0.044774
19:11:08	200	0.020677	0.034153
19:11:14	200	0.017003	0.032115
19:11:19	200	0.008444	0.031552
19:11:24	200	0.019770	0.036357
19:11:30	200	1.251454	1.280613
19:11:35	200	0.022304	0.069397
19:11:40	200	0.006490	0.035441
19:11:45	200	0.016446	0.038995
19:11:51	200	0.043706	0.063698
19:11:56	200	0.019610	0.035180
19:12:01	200	0.019881	0.036399
19:12:06	200	0.039421	0.083674
19:12:14	000	0.000000	2.006247
19:12:19	200	0.013025	0.026517
19:12:24	200	0.007758	0.026768
19:12:29	200	0.022148	0.039814
19:12:34	200	0.019558	0.035439
19:12:40	200	0.006982	0.021714
19:12:45	200	0.006620	0.022553
19:12:50	200	0.007504	0.035277
19:12:55	200	0.008395	0.032289
19:13:00	200	0.008107	0.032427
19:13:05	200	0.006746	0.023972
19:13:12	000	0.000000	2.004529
19:13:18	200	0.070455	0.098437
19:13:25	200	0.883856	0.919856
19:13:30	200	0.045303	0.190128
19:13:35	200	0.009075	0.033627
19:13:40	200	0.012389	0.029056
19:13:46	200	0.006726	0.032867
19:13:51	200	0.018486	0.045564
19:13:56	200	0.006354	0.022339
19:14:01	200	0.014869	0.027615
19:14:06	200	0.007654	0.031843
