ts	elapsed_s	icmp_status	icmp_rtt_ms	hp_status	hp_code	hp_connect_ms	hp_total_ms	hl_status	hl_code	hl_connect_ms	hl_total_ms	health_age_s	sse_bytes	wifi_rssi_dbm	wifi_disc	wifi_reconn	heap_kb	uptime_s
20:34:08	0	ok	-	fail	000	19.6	4007.0	fail	000	7.6	5006.5	0	1318	-	-	-	-	-
20:34:22	14	ok	-	fail	000	11.3	4006.2	-	-	-	-	5	1266	-	-	-	-	-
20:34:31	23	fail	-	fail	000	0.0	2006.2	-	-	-	-	10	1628	-	-	-	-	-
20:34:39	31	ok	-	fail	000	0.0	2003.8	fail	000	0.0	2006.7	0	1181	-	-	-	-	-
20:34:48	40	ok	-	fail	000	0.0	2006.7	-	-	-	-	5	1503	-	-	-	-	-
20:34:55	47	ok	-	fail	000	0.0	2006.2	-	-	-	-	10	1127	-	-	-	-	-
20:35:03	55	ok	-	fail	000	0.0	2003.4	-	-	-	-	15	1155	-	-	-	-	-
20:35:10	62	ok	-	fail	000	0.0	2006.4	fail	000	0.0	2004.8	0	1501	-	-	-	-	-
20:35:19	71	ok	-	fail	000	7.8	15.7	-	-	-	-	5	807	-	-	-	-	-
20:35:24	76	ok	-	fail	000	19.9	26.4	-	-	-	-	10	793	-	-	-	-	-
20:35:29	81	ok	-	fail	000	1363.2	1374.8	-	-	-	-	15	1113	-	-	-	-	-
20:35:36	88	ok	-	fail	000	8.9	27.1	-	-	-	-	20	807	-	-	-	-	-
20:35:41	93	fail	-	fail	000	930.8	944.3	fail	000	8.8	14.6	0	1083	-	-	-	-	-
20:35:48	100	ok	-	fail	000	10.3	49.3	-	-	-	-	5	807	-	-	-	-	-
20:35:53	105	fail	-	fail	000	575.9	582.7	-	-	-	-	10	1085	-	-	-	-	-
20:36:00	112	ok	-	fail	000	22.6	29.1	-	-	-	-	15	779	-	-	-	-	-
20:36:05	117	ok	-	fail	000	469.4	489.6	-	-	-	-	20	932	-	-	-	-	-
20:36:10	122	ok	-	fail	000	12.6	19.3	-	-	-	-	25	777	-	-	-	-	-
20:36:15	127	ok	-	fail	000	7.9	14.6	fail	000	19.3	26.7	0	793	-	-	-	-	-
20:36:21	133	ok	-	fail	000	29.2	44.0	-	-	-	-	5	779	-	-	-	-	-
20:36:26	138	fail	-	fail	000	653.9	668.8	-	-	-	-	10	1113	-	-	-	-	-
20:36:33	145	ok	-	fail	000	24.6	30.2	-	-	-	-	15	835	-	-	-	-	-
20:36:38	150	ok	-	fail	000	8.8	38.2	-	-	-	-	20	821	-	-	-	-	-
20:36:43	155	ok	-	fail	000	12.0	41.5	-	-	-	-	25	165	-	-	-	-	-
20:36:48	160	ok	-	fail	000	12.5	72.8	fail	000	44.4	49.7	0	1489	-	-	-	-	-
20:36:53	165	fail	-	fail	000	0.0	2001.4	-	-	-	-	5	793	-	-	-	-	-
20:37:01	173	ok	-	fail	000	1761.0	1773.6	-	-	-	-	10	1600	-	-	-	-	-
20:37:08	180	ok	-	fail	000	8.7	17.6	-	-	-	-	15	835	-	-	-	-	-
20:37:13	185	ok	-	fail	000	6.9	13.1	-	-	-	-	20	819	-	-	-	-	-
20:37:18	190	ok	-	fail	000	17.5	23.1	fail	000	11.1	28.0	0	807	-	-	-	-	-
20:37:23	195	ok	-	fail	000	9.9	23.8	-	-	-	-	5	988	-	-	-	-	-
20:37:29	201	fail	-	fail	000	394.2	408.8	-	-	-	-	10	974	-	-	-	-	-
20:37:35	207	ok	-	fail	000	8.3	26.6	-	-	-	-	15	974	-	-	-	-	-
20:37:41	213	ok	-	fail	000	32.0	38.8	-	-	-	-	20	833	-	-	-	-	-
20:37:46	218	ok	-	fail	000	26.7	35.6	-	-	-	-	25	821	-	-	-	-	-
20:37:51	223	ok	-	fail	000	8.6	34.6	fail	000	7.5	14.7	0	807	-	-	-	-	-
20:37:56	228	ok	-	fail	000	10.2	15.8	-	-	-	-	5	821	-	-	-	-	-
20:38:02	234	fail	-	fail	000	464.9	470.8	-	-	-	-	10	1155	-	-	-	-	-
20:38:08	240	fail	-	fail	000	0.0	2003.5	-	-	-	-	15	807	-	-	-	-	-
20:38:16	248	fail	-	fail	000	752.3	765.0	-	-	-	-	20	1654	-	-	-	-	-
20:38:23	255	ok	-	fail	000	22.1	28.3	fail	000	13.8	76.7	0	807	-	-	-	-	-
20:38:28	260	ok	-	fail	000	12.3	23.9	-	-	-	-	5	974	-	-	-	-	-
