ts       elapsed  | icmp_status icmp_rtt    | hp_status hp_code hp_connect_ms hp_total_ms   | hl_status hl_code hl_connect_ms hl_total_ms   health_age_s | sse_bytes  | wifi_rssi_dbm wifi_disc  wifi_reconn  | heap_kb  uptime_s
-------- -------- | ----------- ----------- | --------- ------- ------------- ------------- | --------- ------- ------------- ------------- ------------ | ---------- | ------------- ---------- ------------ | -------- --------
22:06:28 0        | fail        -           | fail      000     0.0           2002.9        | fail      000     0.0           2003.8        0            | 38         | -             -          -            | -        -       
22:06:40 12       | fail        -           | fail      000     0.0           2004.1        | -         -       -             -             5            | 0          | -             -          -            | -        -       
22:06:50 22       | fail        -           | fail      000     0.0           1015.1        | -         -       -             -             10           | 0          | -             -          -            | -        -       
22:06:58 30       | ok          -           | fail      000     0.0           2006.2        | fail      000     0.0           2004.7        0            | 0          | -             -          -            | -        -       
22:07:09 41       | ok          -           | ok        200     26.0          53.0          | -         -       -             -             5            | 0          | -             -          -            | -        -       
22:07:15 47       | ok          -           | ok        200     19.0          55.9          | -         -       -             -             10           | 0          | -             -          -            | -        -       
22:07:21 53       | ok          -           | ok        200     20.6          46.7          | -         -       -             -             15           | 0          | -             -          -            | -        -       
22:07:27 59       | ok          -           | ok        200     1591.0        1648.4        | -         -       -             -             20           | 0          | -             -          -            | -        -       
22:07:35 67       | ok          -           | fail      000     13.2          4006.8        | fail      000     1277.0        5006.1        0            | 2164       | -             -          -            | -        -       
22:07:51 83       | ok          -           | fail      000     0.0           2007.1        | -         -       -             -             5            | 1692       | -             -          -            | -        -       
22:07:59 91       | ok          -           | fail      000     0.0           2005.9        | -         -       -             -             10           | 1664       | -             -          -            | -        -       
22:08:07 99       | ok          -           | fail      000     0.0           2004.2        | fail      000     0.0           2005.9        0            | 2307       | -             -          -            | -        -       
22:08:19 111      | ok          -           | fail      000     0.0           2003.8        | -         -       -             -             5            | 1823       | -             -          -            | -        -       
22:08:27 119      | ok          -           | fail      000     0.0           2004.2        | -         -       -             -             10           | 1206       | -             -          -            | -        -       
22:08:35 127      | ok          -           | fail      000     0.0           2006.7        | -         -       -             -             15           | 1620       | -             -          -            | -        -       
22:08:43 135      | ok          -           | fail      000     0.0           2006.2        | fail      000     15.7          21.1          0            | 2351       | -             -          -            | -        -       
22:08:52 144      | ok          -           | fail      000     1711.5        1736.3        | -         -       -             -             5            | 1622       | -             -          -            | -        -       
22:09:00 152      | ok          -           | fail      000     1010.6        1017.3        | -         -       -             -             10           | 1435       | -             -          -            | -        -       
22:09:07 159      | ok          -           | fail      000     18.3          26.5          | -         -       -             -             15           | 1447       | -             -          -            | -        -       
22:09:14 166      | fail        -           | fail      000     8.6           15.5          | fail      000     17.9          38.8          0            | 1622       | -             -          -            | -        -       
22:09:22 174      | ok          -           | fail      000     9.1           19.4          | -         -       -             -             5            | 1220       | -             -          -            | -        -       
22:09:28 180      | ok          -           | fail      000     1012.2        1020.8        | -         -       -             -             10           | 1407       | -             -          -            | -        -       
22:09:36 188      | fail        -           | fail      000     17.0          30.6          | -         -       -             -             15           | 1419       | -             -          -            | -        -       
